Name,Position,Duration,Period,Period position,Return 1 Direction,Serve 1 Direction,Opponent Player Handed,Ball 3 Direction,Rally Stroke,Shot Count,Ball 5 Direction,Scoreline,Stroke Type,Finish,Serve 2 Direction,Ball 5 Stroke,Ball 4 Situation,Return 2 Direction,Point Won By,Ball 4 Direction,Tagged By,Game Score,Next...,Ball 5 Situation,Return 2 Position,FE Stroke Type,Return 1 Position,Side,Player Serving,Return Type,Return Stroke,Player Final Shot,Set,Void,End,Rally Length,Tournament Level,Ball 4 Stroke,FE Rally Stroke,Ball 3 Stroke,Tagged Player Handed,Situation,Point Lost By,Serve,Ball 3 Situation,Player Returning,Opponent Player,Tagged Player,Record,Court Surface,Let,Opponent Approach,Player Approach,Tournament,Date,Description
Point (14),154933,6800,20251024_NikolaiTingstadvsOpponent_Grenada,154933,Unclassified,6,R,,,,,30-15,,Return Error,,,,,Opponent Point Won,,AH,2~0,point,,,,Very Deep,Ad,Opponent Serving,Block,BH,,1,,far,,National,,,,R,Defensive,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (15),161733,7867,20251024_NikolaiTingstadvsOpponent_Grenada,161733,,Net 3,R,Wide Deep BH,FH,2,,30-30,Groundstroke,Unforced Error,1,,,Middle Centre,Target Player Point Won,,AH,2~0,point,,Deep,,,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,1,,far,4,National,,,FH,R,Attacking,Opponent Point Lost,Second Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (16),169600,12967,20251024_NikolaiTingstadvsOpponent_Grenada,169600,,Wide,R,Centre Middle,BH,6,Deep FH,40-30,Groundstroke,Unforced Error,5,FH,Neutral,Middle Centre,Target Player Point Won,Deep Middle,AH,2~0,game,Attacking,Deep,,,Ad,Opponent Serving,Drive,FH,Opponent Final Shot,1,,far,5 to 8,National,BH,,BH,R,Neutral,Opponent Point Lost,Second Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (17),182567,12933,20251024_NikolaiTingstadvsOpponent_Grenada,182567,Line Centre,2,R,Deep BH,FH,5,Deep BH,00-00,Groundstroke,Winner,,FH,Defensive,,Target Player Point Won,Centre FH,AH,3~0,point,Attacking,,,Very Deep,Deuce,Target Player Serving,Block,BH,Target Player Final Shot,1,,far,5 to 8,National,BH,,BH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (18),195500,15067,20251024_NikolaiTingstadvsOpponent_Grenada,195500,Middle Deep,5,R,Centre BH,FH,8,Centre Middle,15-00,Volley,Winner,,BH,Attacking,,Opponent Point Won,Deep BH,AH,3~0,point,Defensive,,,Deep,Ad,Target Player Serving,Drive,BH,Opponent Final Shot,1,,far,5 to 8,National,BH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,,Opponent,10102025,
Point (19),210567,9233,20251024_NikolaiTingstadvsOpponent_Grenada,210567,Middle Centre,3,R,Centre BH,BH,3,,15-15,Groundstroke,Unforced Error,,,Attacking,,Target Player Point Won,Long FH,AH,3~0,point,,,,Very Deep,Deuce,Target Player Serving,Block,BH,Opponent Final Shot,1,,far,4,National,BH,,BH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (20),219800,5400,20251024_NikolaiTingstadvsOpponent_Grenada,219800,Net Middle,4,R,,,,,30-15,,Return Error,,,,,Target Player Point Won,,AH,3~0,point,,,,Deep,Ad,Target Player Serving,Drive,FH,,1,,far,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (21),225200,8867,20251024_NikolaiTingstadvsOpponent_Grenada,225200,,Net 2,R,Deep FH,FH,3,,40-15,Groundstroke,Unforced Error,3,,Attacking,Middle Short,Target Player Point Won,Net Middle,AH,3~0,game,,,,Very Deep,Deuce,Target Player Serving,Drive,BH,Opponent Final Shot,1,,far,4,National,FH,,FH,R,Attacking,Opponent Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (22),234067,6033,20251024_NikolaiTingstadvsOpponent_Grenada,234067,Net Line,1,R,,,,,00-00,,Return Error,,,,,Opponent Point Won,,AH,4~0,point,,,,Deep,Deuce,Opponent Serving,Slide,FH,,1,,near,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (23),240100,7067,20251024_NikolaiTingstadvsOpponent_Grenada,240100,,Long 4,R,Wide Centre FH,BH,2,,00-15,Groundstroke,Unforced Error,5,,,Middle Short,Target Player Point Won,,AH,4~0,point,,Deep,,,Ad,Opponent Serving,Drive,BH,Opponent Final Shot,1,,near,4,National,,,BH,R,Attacking,Opponent Point Lost,Second Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (24),247167,25933,20251024_NikolaiTingstadvsOpponent_Grenada,247167,Line Deep,3,R,Centre FH,BH,14,Deep FH,15-15,Volley,Forced Error,,FH,Attacking,,Target Player Point Won,Centre Middle,AH,4~0,point,Attacking,,Groundstroke,Behind,Deuce,Opponent Serving,Drive,BH,Opponent Final Shot,1,,near,9+,National,FH,BH,BH,R,Defensive,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,,Opponent,10102025,
Point (25),273100,17767,20251024_NikolaiTingstadvsOpponent_Grenada,273100,Line Deep,5,R,Centre FH,BH,8,Deep Middle,30-15,Groundstroke,Forced Error,,FH,Neutral,,Target Player Point Won,Deep Middle,AH,4~0,point,Attacking,,Groundstroke,Behind,Ad,Opponent Serving,Drive,BH,Opponent Final Shot,1,,near,5 to 8,National,FH,FH,FH,R,Defensive,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (26),290867,22200,20251024_NikolaiTingstadvsOpponent_Grenada,290867,,Long 3,R,Deep Middle,BH,11,Centre BH,40-15,Groundstroke,Unforced Error,1,FH,Defensive,Middle Deep,Opponent Point Won,Centre Middle,AH,4~0,point,Attacking,Deep,,,Deuce,Opponent Serving,Drive,FH,Target Player Final Shot,1,,near,9+,National,FH,,BH,R,Defensive,Target Player Point Lost,Second Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (27),313067,5033,20251024_NikolaiTingstadvsOpponent_Grenada,313067,,Long 6,R,,,,,40-30,,Double Fault,Long 5,,,,Target Player Point Won,,AH,4~0,game,,,,,Ad,Opponent Serving,,,,1,,near,,National,,,,R,,Opponent Point Lost,Second Serve Out,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (28),318100,14800,20251024_NikolaiTingstadvsOpponent_Grenada,318100,Line Centre,3,R,Deep Middle,FH,7,Deep FH,00-00,Groundstroke,Unforced Error,,BH,Attacking,,Target Player Point Won,Deep BH,AH,5~0,point,Attacking,,,Deep,Deuce,Target Player Serving,Drive,BH,Opponent Final Shot,1,,near,5 to 8,National,BH,,BH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (29),332900,5100,20251024_NikolaiTingstadvsOpponent_Grenada,332900,,Net 4,R,,,,,15-00,,Double Fault,Wide,,,,Opponent Point Won,,AH,5~0,point,,,,,Ad,Target Player Serving,,,,1,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (30),338000,5800,20251024_NikolaiTingstadvsOpponent_Grenada,338000,Wide Cross Deep,2,R,,,,,15-15,,Return Error,,,,,Target Player Point Won,,AH,5~0,point,,,,Deep,Deuce,Target Player Serving,Drive,FH,,1,,near,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (31),343800,7900,20251024_NikolaiTingstadvsOpponent_Grenada,343800,Middle Centre,6,R,Deep FH,FH,3,,30-15,Groundstroke,Winner,,,,,Target Player Point Won,,AH,5~0,point,,,,Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,1,No Ball 4,near,4,National,,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (32),351700,6367,20251024_NikolaiTingstadvsOpponent_Grenada,351700,Long Middle,2,R,,,,,40-15,,Return Error,,,,,Target Player Point Won,,AH,5~0,set,,,,Deep,Deuce,Target Player Serving,Drive,BH,,1,,near,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (33),358067,6633,20251024_NikolaiTingstadvsOpponent_Grenada,358067,Long Cross,1,R,,,,,00-00,,Return Error,,,,,Opponent Point Won,,AH,0~0,point,,,,Deep,Deuce,Opponent Serving,Drive,FH,,2,,far,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (34),364700,9867,20251024_NikolaiTingstadvsOpponent_Grenada,364700,,Centre,R,Centre Middle,FH,3,,00-15,Groundstroke,Unforced Error,6,,Attacking,Line Deep,Opponent Point Won,Long Middle,AH,0~0,point,,,,Very Deep,Ad,Opponent Serving,Drive,BH,Target Player Final Shot,2,,far,4,National,FH,,FH,R,Attacking,Target Player Point Lost,Second Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (35),374567,6833,20251024_NikolaiTingstadvsOpponent_Grenada,374567,,Long 1,R,,,,,00-30,,Double Fault,Long 3,,,,Target Player Point Won,,AH,0~0,point,,,,,Deuce,Opponent Serving,,,,2,,far,,National,,,,R,,Opponent Point Lost,Second Serve Out,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (36),381400,9500,20251024_NikolaiTingstadvsOpponent_Grenada,381400,Middle Centre,5,R,Short BH,BH,3,,15-30,Slice,Forced Error,,,Defensive,,Opponent Point Won,Long Middle,AH,0~0,point,,,Groundstroke,Deep,Ad,Opponent Serving,Drive,BH,Target Player Final Shot,2,,far,4,National,BH,BH,BH,R,Defensive,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (37),390900,4600,20251024_NikolaiTingstadvsOpponent_Grenada,390900,,Net 3,R,,,,,15-40,,Double Fault,Net 3,,,,Target Player Point Won,,AH,0~0,point,,,,,Deuce,Opponent Serving,,,,2,,far,,National,,,,R,,Opponent Point Lost,Second Serve Out,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (38),395500,7033,20251024_NikolaiTingstadvsOpponent_Grenada,395500,Long Middle,5,R,,,,,30-40,,Return Error,,,,,Opponent Point Won,,AH,0~0,game,,,,Very Deep,Ad,Opponent Serving,Drive,BH,,2,,far,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (39),402533,8267,20251024_NikolaiTingstadvsOpponent_Grenada,402533,,Net 3,R,Wide Long BH,FH,2,,00-00,Block,Forced Error,2,,,Middle Deep,Opponent Point Won,,AH,0~1,point,,,Groundstroke,Very Deep,Deuce,Target Player Serving,Drive,FH,Target Player Final Shot,2,,far,4,National,,FH,FH,R,Defensive,Target Player Point Lost,Second Serve In,Defensive,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (40),410800,6567,20251024_NikolaiTingstadvsOpponent_Grenada,410800,Long Line,5,R,,,,,00-15,,Return Error,,,,,Target Player Point Won,,AH,0~1,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,,2,,far,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (41),417367,7400,20251024_NikolaiTingstadvsOpponent_Grenada,417367,,Long 2,R,Centre Middle,BH,3,,15-15,Groundstroke,Forced Error,2,,Neutral,Cross Deep,Target Player Point Won,Net Middle,AH,0~1,point,,,Groundstroke,Very Deep,Deuce,Target Player Serving,Drive,FH,Opponent Final Shot,2,,far,4,National,BH,FH,FH,R,Neutral,Opponent Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (42),424767,23833,20251024_NikolaiTingstadvsOpponent_Grenada,424767,Line Deep,6,R,Short FH,FH,11,Centre Middle,30-15,Groundstroke,Unforced Error,,FH,Attacking,,Target Player Point Won,Short FH,AH,0~1,point,Neutral,,,Very Deep,Ad,Target Player Serving,Drive,BH,Opponent Final Shot,2,,far,9+,National,FH,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (43),448600,7000,20251024_NikolaiTingstadvsOpponent_Grenada,448600,,Long 1,R,,,,,40-15,,Return Error,3,,,Wide Cross Deep,Target Player Point Won,,AH,0~1,game,,,,Very Deep,Deuce,Target Player Serving,Drive,BH,,2,,far,,National,,,,R,,Opponent Point Lost,Second Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (44),455600,6333,20251024_NikolaiTingstadvsOpponent_Grenada,455600,Wide Cross Deep,1,R,,,,,00-00,,Return Error,,,,,Opponent Point Won,,AH,1~1,point,,,,Deep,Deuce,Opponent Serving,Drive,FH,,2,,near,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (45),461933,7367,20251024_NikolaiTingstadvsOpponent_Grenada,461933,Middle Short,6,R,Long FH,FH,2,,00-15,Volley,Unforced Error,,,,,Target Player Point Won,,AH,1~1,point,,,,Behind,Ad,Opponent Serving,Block,BH,Opponent Final Shot,2,,near,4,National,,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,,Opponent,10102025,
Point (46),469300,11233,20251024_NikolaiTingstadvsOpponent_Grenada,469300,Middle Centre,1,R,Short BH,BH,5,Short FH,15-15,Groundstroke,Winner,,BH,Defensive,,Opponent Point Won,Deep BH,AH,1~1,point,Attacking,,,Deep,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,2,,near,5 to 8,National,BH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (47),480533,5067,20251024_NikolaiTingstadvsOpponent_Grenada,480533,,Wide,R,,,,,15-30,,Double Fault,Net 5,,,,Target Player Point Won,,AH,1~1,point,,,,,Ad,Opponent Serving,,,,2,,near,,National,,,,R,,Opponent Point Lost,Second Serve Out,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (48),485600,8133,20251024_NikolaiTingstadvsOpponent_Grenada,485600,Middle Centre,2,R,Net Middle,FH,2,,30-30,Groundstroke,Unforced Error,,,,,Target Player Point Won,,AH,1~1,point,,,,Deep,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,2,,near,4,National,,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (49),493733,9433,20251024_NikolaiTingstadvsOpponent_Grenada,493733,Cross Deep,4,R,Centre Middle,FH,4,Wide Centre BH,40-30,Groundstroke,Unforced Error,,FH,Attacking,,Target Player Point Won,Centre Middle,AH,1~1,game,Attacking,,,Deep,Ad,Opponent Serving,Drive,FH,Opponent Final Shot,2,,near,4,National,FH,,BH,R,Attacking,Opponent Point Lost,First Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (50),503167,11033,20251024_NikolaiTingstadvsOpponent_Grenada,503167,,Long 3,R,Centre Middle,FH,4,Long BH,00-00,Groundstroke,Unforced Error,3,FH,Neutral,Middle Centre,Opponent Point Won,Centre Middle,AH,2~1,point,Attacking,Deep,,,Deuce,Target Player Serving,Drive,BH,Target Player Final Shot,2,,near,4,National,FH,,FH,R,Attacking,Target Player Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (51),514200,4167,20251024_NikolaiTingstadvsOpponent_Grenada,514200,,Net 5,R,,,,,00-15,,Double Fault,Net 5,,,,Opponent Point Won,,AH,2~1,point,,,,,Ad,Target Player Serving,,,,2,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (52),518367,11233,20251024_NikolaiTingstadvsOpponent_Grenada,518367,Cross Centre,2,R,Deep Middle,FH,4,,00-30,Groundstroke,Winner,,,Attacking,,Opponent Point Won,Deep FH,AH,2~1,point,,,,Deep,Deuce,Target Player Serving,Drive,BH,Opponent Final Shot,2,No Ball 5,near,4,National,FH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (53),529600,7067,20251024_NikolaiTingstadvsOpponent_Grenada,529600,Wide Line Deep,6,R,,,,,00-40,,Return Error,,,,,Target Player Point Won,,AH,2~1,point,,,,Deep,Ad,Target Player Serving,Block,BH,,2,,near,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (54),536667,4933,20251024_NikolaiTingstadvsOpponent_Grenada,536667,,Net 3,R,,,,,15-40,,Double Fault,Long 3,,,,Opponent Point Won,,AH,2~1,game,,,,,Deuce,Target Player Serving,,,,2,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (55),541600,14700,20251024_NikolaiTingstadvsOpponent_Grenada,541600,Middle Deep,3,R,Centre BH,FH,6,Centre BH,00-00,Groundstroke,Unforced Error,,FH,Attacking,,Target Player Point Won,Deep Middle,AH,2~2,point,Attacking,,,Deep,Deuce,Opponent Serving,Drive,BH,Opponent Final Shot,2,,far,5 to 8,National,BH,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (56),556300,6633,20251024_NikolaiTingstadvsOpponent_Grenada,556300,Long Middle,6,R,,,,,15-00,,Return Error,,,,,Opponent Point Won,,AH,2~2,point,,,,Very Deep,Ad,Opponent Serving,Drive,BH,,2,,far,,National,,,,R,,Target Player Point Lost,First Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (57),562933,6033,20251024_NikolaiTingstadvsOpponent_Grenada,562933,,Wide,R,,,,,15-15,,Return Error,1,,,Wide Cross Centre,Opponent Point Won,,AH,2~2,point,,Behind,,,Deuce,Opponent Serving,Drive,FH,,2,,far,,National,,,,R,,Target Player Point Lost,Second Serve In,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (58),568967,11833,20251024_NikolaiTingstadvsOpponent_Grenada,568967,Middle Centre,6,R,Short BH,FH,5,Short Middle,15-30,Drop V,Winner,,FH,Defensive,,Opponent Point Won,Short FH,AH,2~2,point,Attacking,,,Deep,Ad,Opponent Serving,Block,BH,Opponent Final Shot,2,,far,5 to 8,National,BH,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,Opponent Approach,,Opponent,10102025,
Point (59),580800,9300,20251024_NikolaiTingstadvsOpponent_Grenada,580800,Middle Deep,2,R,Centre Middle,FH,3,,15-40,Groundstroke,Unforced Error,,,Attacking,,Opponent Point Won,Long FH,AH,2~2,game,,,,Deep,Deuce,Opponent Serving,Drive,FH,Target Player Final Shot,2,,far,4,National,FH,,BH,R,Attacking,Target Player Point Lost,First Serve In,Defensive,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (60),590100,16700,20251024_NikolaiTingstadvsOpponent_Grenada,590100,,Net 2,R,Centre BH,FH,8,Deep Middle,00-00,Groundstroke,Forced Error,2,FH,Neutral,Cross Deep,Opponent Point Won,Deep Middle,AH,2~3,point,Neutral,,Groundstroke,Very Deep,Deuce,Target Player Serving,Drive,FH,Target Player Final Shot,2,,far,5 to 8,National,BH,BH,FH,R,Defensive,Target Player Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (61),606800,8133,20251024_NikolaiTingstadvsOpponent_Grenada,606800,Middle Deep,5,R,Long FH,FH,2,,00-15,Groundstroke,Unforced Error,,,,,Opponent Point Won,,AH,2~3,point,,,,Very Deep,Ad,Target Player Serving,Drive,BH,Target Player Final Shot,2,,far,4,National,,,FH,R,Attacking,Target Player Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
